,Age,Passing_TD%,Passing_Int%,Passing_1D,Passing_Lng,Passing_Y/A,Passing_AY/A,Passing_Y/C,Passing_Sk,Passing_Sk%,Passing_NY/A,Passing_ANY/A,Rushing_1D,Rushing_Lng,Rushing_Y/A_y,Fantasy_PPR
96,22,2.6,3.7,83.0,64.0,6.9,5.8,11.8,36.0,11.8,5.25,4.24,22.0,23.0,5.8,126.8
103,31,3.0,3.7,43.0,70.0,7.3,6.2,12.5,9.0,6.3,6.39,5.38,26.0,44.0,5.3,121.7
106,27,8.7,1.9,56.0,72.0,7.3,8.2,12.3,11.0,6.4,6.4,7.24,17.0,20.0,5.2,117.4
141,30,5.9,1.6,61.0,46.0,6.1,6.6,10.7,9.0,4.6,5.53,5.96,2.0,17.0,2.2,90.2
145,32,3.2,4.0,32.0,64.0,5.4,4.3,9.9,10.0,7.4,4.42,3.35,20.0,33.0,4.9,86.4
153,34,3.4,3.8,83.0,60.0,6.4,5.4,10.2,18.0,7.1,5.4,4.44,2.0,14.0,4.8,84.2
157,23,1.6,2.1,55.0,43.0,5.8,5.1,8.9,18.0,8.7,4.73,4.15,22.0,21.0,6.3,82.6
162,32,3.3,3.3,44.0,52.0,6.4,5.6,10.6,13.0,8.0,5.2,4.43,6.0,30.0,7.9,81.7
177,29,2.2,1.8,69.0,52.0,5.7,5.3,9.1,19.0,7.8,4.72,4.39,9.0,19.0,3.7,72.3
187,21,7.0,2.8,27.0,76.0,8.5,8.6,14.7,4.0,5.3,7.84,7.97,8.0,15.0,4.4,64.9
216,31,5.3,1.1,31.0,84.0,7.4,8.0,10.8,13.0,12.0,5.42,5.93,3.0,12.0,4.7,54.3
224,25,1.8,1.8,32.0,44.0,7.1,6.6,11.7,9.0,7.5,6.13,5.71,5.0,23.0,5.3,51.9
236,35,5.9,2.4,39.0,28.0,7.5,7.6,11.2,3.0,3.4,6.99,7.1,1.0,11.0,3.1,46.3
246,26,3.8,6.1,49.0,28.0,7.2,5.3,10.8,4.0,2.9,6.88,4.96,2.0,2.0,-0.2,44.0
259,35,3.0,1.0,39.0,50.0,7.5,7.6,10.0,6.0,5.7,6.67,6.81,6.0,11.0,1.7,41.3
294,25,6.7,1.7,24.0,36.0,7.3,7.9,10.7,5.0,7.7,6.28,6.82,2.0,9.0,2.3,33.7
306,32,2.4,6.0,43.0,60.0,4.7,2.5,8.8,9.0,5.1,4.1,2.0,2.0,13.0,4.7,30.9
311,33,4.2,1.4,25.0,34.0,6.4,6.6,9.8,5.0,6.5,5.62,5.82,6.0,10.0,1.8,28.7
325,27,3.2,6.4,28.0,42.0,5.6,3.4,8.6,21.0,6.6,5.6,3.36,1.0,14.0,6.5,24.3
326,36,7.1,2.6,14.0,62.0,8.0,9.5,12.5,2.0,4.5,7.39,8.75,1.0,2.0,1.5,23.8
328,28,6.4,2.1,18.0,73.0,9.0,9.3,14.1,3.0,6.0,8.06,8.36,7.0,2.0,-0.9,24.1
346,23,3.2,4.8,22.0,62.0,6.6,5.1,11.4,3.0,4.6,5.97,4.51,1.0,10.0,2.3,21.1
360,26,1.7,1.7,16.0,36.0,4.8,4.3,7.9,21.0,6.6,4.78,4.34,3.0,26.0,10.6,18.4
362,32,2.9,2.6,14.0,30.0,7.1,7.7,10.4,4.0,10.3,5.87,6.38,1.0,8.0,2.0,16.8
377,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,6.0,31.0,6.7,14.9
383,29,5.9,2.6,5.0,26.0,4.4,5.6,8.8,4.0,10.5,3.05,4.11,1.0,3.0,-0.1,13.9
387,26,1.5,4.5,19.0,24.0,5.5,3.7,10.1,7.0,9.6,4.32,2.74,2.0,13.0,1.9,13.8
390,29,2.8,2.6,8.0,30.0,5.3,5.8,8.6,2.0,5.3,4.58,5.11,2.0,11.0,7.0,13.0
398,36,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,2.0,-0.7,12.3
406,23,1.7,5.0,10.0,36.0,3.5,1.6,7.8,6.0,9.1,2.68,0.94,4.0,27.0,8.1,10.9
423,26,3.3,2.6,9.0,25.0,4.9,5.6,7.4,21.0,6.6,4.9,5.57,7.0,14.0,3.2,9.9
435,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,11.0,5.5,7.9
437,30,4.1,2.6,8.0,46.0,6.3,6.3,9.7,2.0,6.1,5.27,5.27,7.0,14.0,3.2,7.8
442,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,3.0,22.0,1.8,8.1
492,36,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,4.0,3.2,3.3
510,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,2.0,2.0,1.5
512,23,4.1,10.0,5.0,56.0,6.8,2.3,11.3,8.0,28.6,2.89,-0.32,1.0,3.0,2.0,2.0
516,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.8,2.0
529,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,4.0,2.0,2.0
535,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,6.0,6.0,0.6
542,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,9.0,3.0,0.9
543,39,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,2.0,2.0,0.7
572,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.5,-0.1
575,35,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.2
580,22,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.2
582,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,1.0,1.0,0.2
583,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,73.0
584,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.5,-0.3
587,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,-1.0
588,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,4.0,2.0,-1.4
591,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.6
593,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.5,-1.9
594,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,-3.2
602,24,6.5,1.7,228.0,55.0,7.9,8.5,11.5,26.0,4.3,7.33,7.82,38.0,24.0,4.1,396.1
603,37,9.1,1.0,216.0,78.0,8.2,9.6,11.6,20.0,3.7,7.54,8.89,15.0,14.0,3.9,383.3
604,23,4.7,2.2,205.0,80.0,7.1,7.1,10.6,27.0,4.6,6.49,6.45,52.0,48.0,6.2,378.7
605,25,6.5,1.0,238.0,75.0,8.1,8.9,12.2,22.0,3.6,7.53,8.33,22.0,24.0,5.0,374.4
606,25,6.1,1.3,221.0,77.0,8.9,9.5,12.6,49.0,8.3,7.64,8.22,31.0,16.0,4.9,369.3
611,32,7.2,2.3,213.0,62.0,7.5,7.9,11.0,47.0,7.8,6.46,6.82,25.0,38.0,6.2,359.8
618,32,6.9,1.5,202.0,75.0,7.9,8.7,12.1,24.0,4.8,7.22,7.9,22.0,45.0,6.2,344.4
620,43,6.6,2.0,233.0,50.0,7.6,8.0,11.6,21.0,3.3,7.12,7.53,6.0,4.0,0.2,337.9
624,22,5.2,1.7,216.0,72.0,7.3,7.6,10.9,32.0,5.1,6.57,6.84,20.0,31.0,4.3,332.8
625,23,6.9,2.4,138.0,47.0,7.3,7.6,11.4,29.0,7.2,6.41,6.7,56.0,50.0,6.3,332.8
640,32,6.8,2.5,212.0,71.0,8.3,8.5,12.2,39.0,7.0,7.22,7.43,16.0,16.0,4.9,306.2
670,35,4.2,1.8,242.0,63.0,7.3,7.4,11.3,41.0,6.1,6.48,6.52,8.0,16.0,3.2,282.4
673,29,5.2,1.7,193.0,85.0,7.9,8.2,11.8,26.0,4.8,7.28,7.53,16.0,18.0,3.6,272.1
674,38,5.4,1.6,193.0,84.0,6.3,6.6,9.5,13.0,2.1,5.93,6.27,3.0,11.0,0.4,267.2
675,32,4.9,1.9,205.0,73.0,7.7,7.9,12.0,38.0,6.7,6.77,6.89,12.0,17.0,3.9,260.6
676,31,2.2,2.7,133.0,50.0,7.2,6.4,11.0,31.0,7.8,6.17,5.44,55.0,49.0,4.3,261.0
677,25,5.3,1.6,188.0,75.0,7.3,7.7,11.7,26.0,5.1,6.64,6.96,18.0,28.0,3.1,248.6
678,28,3.0,2.2,174.0,75.0,7.6,7.2,11.0,31.0,5.9,6.75,6.37,18.0,18.0,5.3,241.2
679,26,3.6,2.4,194.0,56.0,7.2,6.8,10.7,23.0,4.0,6.59,6.27,12.0,10.0,1.9,240.0
680,39,4.4,2.0,200.0,55.0,7.7,7.7,11.3,19.0,3.4,7.21,7.18,7.0,3.0,-0.4,240.0
681,41,6.2,1.5,149.0,52.0,7.5,8.1,10.7,13.0,3.2,7.08,7.6,4.0,3.0,-0.1,209.5
682,28,3.7,3.4,130.0,59.0,6.0,5.2,10.4,50.0,10.3,4.71,3.98,25.0,40.0,5.3,198.4
683,24,3.6,3.4,145.0,92.0,6.6,5.8,11.5,19.0,4.1,6.08,5.31,13.0,16.0,3.6,181.3
684,23,2.5,2.2,158.0,53.0,6.6,6.1,10.5,45.0,9.1,5.39,4.92,17.0,80.0,6.5,180.0
685,24,3.2,1.2,150.0,67.0,6.7,6.7,10.2,32.0,7.3,5.64,5.72,14.0,23.0,3.8,173.7
686,24,4.9,1.5,117.0,51.0,6.9,7.2,10.5,27.0,7.6,5.97,6.23,10.0,16.0,5.3,160.7
687,26,5.4,2.7,124.0,53.0,6.9,6.8,10.3,18.0,5.7,6.13,6.0,12.0,45.0,5.9,153.7
688,38,4.9,3.0,106.0,70.0,7.8,7.5,11.4,14.0,5.0,7.21,6.85,12.0,17.0,5.0,153.7
689,30,3.3,1.7,45.0,44.0,7.7,7.6,10.5,14.0,10.4,6.23,6.16,34.0,43.0,5.3,156.6
690,33,4.2,2.4,116.0,69.0,6.5,6.3,10.0,24.0,6.7,5.56,5.34,11.0,13.0,4.1,136.9
691,27,4.1,1.8,93.0,58.0,8.4,8.4,12.3,10.0,4.3,7.72,7.72,8.0,12.0,5.2,135.6
692,22,3.8,1.7,100.0,35.0,6.3,6.2,9.8,20.0,6.5,5.41,5.4,13.0,17.0,3.0,135.5
693,23,2.5,3.0,109.0,69.0,6.1,5.2,10.2,35.0,8.8,4.95,4.16,13.0,46.0,5.9,134.0
704,25,3.7,3.7,120.0,49.0,7.5,6.6,11.5,19.0,5.5,6.66,5.79,1.0,7.0,0.9,116.3
718,22,4.1,2.7,45.0,81.0,7.2,6.8,13.8,13.0,8.1,6.22,5.85,25.0,24.0,5.6,109.1
722,31,3.2,2.6,93.0,50.0,5.9,5.4,9.2,18.0,5.5,5.17,4.69,2.0,7.0,0.1,104.2
768,36,2.4,3.2,74.0,68.0,6.3,5.3,9.4,22.0,8.0,5.27,4.39,7.0,5.0,0.3,71.6
782,23,2.1,2.9,73.0,50.0,6.0,5.1,9.7,20.0,7.7,4.97,4.15,6.0,19.0,2.3,68.2
792,29,5.0,3.6,55.0,76.0,7.8,7.2,11.7,11.0,7.3,6.75,6.19,3.0,9.0,2.5,64.3
797,31,3.9,2.8,57.0,46.0,6.0,5.5,9.7,9.0,4.8,5.42,4.97,2.0,4.0,2.8,60.6
816,35,4.5,2.2,36.0,52.0,6.4,6.3,11.7,7.0,5.0,5.64,5.53,3.0,9.0,3.7,54.8
821,27,5.8,2.6,42.0,49.0,7.6,8.7,11.9,9.0,8.0,6.34,7.4,1.0,17.0,4.7,52.3
827,28,3.5,2.8,42.0,72.0,6.5,6.0,10.3,7.0,4.7,5.87,5.33,5.0,4.0,2.1,49.7
843,24,4.6,1.1,30.0,52.0,7.0,7.4,10.2,7.0,7.4,6.02,6.39,3.0,13.0,3.7,45.0
888,27,4.7,3.1,18.0,45.0,6.8,6.3,12.3,11.0,14.7,4.45,4.05,3.0,9.0,4.7,30.1
902,24,1.8,5.5,31.0,73.0,5.7,3.6,10.4,7.0,6.0,4.89,2.92,1.0,13.0,13.0,28.3
910,27,3.6,3.6,11.0,35.0,8.1,7.2,13.3,21.0,6.6,8.07,7.18,8.0,26.0,9.8,25.8
919,35,5.3,2.6,15.0,37.0,6.5,7.6,8.9,2.0,5.0,6.1,7.1,1.0,1.0,-0.3,23.7
928,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,9.0,5.0,1.1,20.6
937,26,3.1,6.3,8.0,30.0,5.1,2.9,9.6,9.0,22.0,2.46,0.76,4.0,23.0,6.0,19.2
947,34,1.5,1.5,19.0,35.0,5.7,5.3,9.4,5.0,7.0,4.94,4.59,7.0,4.0,1.3,18.2
951,25,4.7,2.3,13.0,47.0,7.5,7.4,13.0,1.0,2.3,7.18,7.07,7.0,1.0,-0.9,18.4
976,31,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,16.0,1.8,15.3
977,29,2.6,2.6,10.0,32.0,6.4,5.7,11.6,2.0,5.0,5.5,4.88,2.0,15.0,9.3,14.5
992,24,4.5,6.8,12.0,38.0,5.8,3.7,11.6,4.0,8.3,4.9,2.92,3.0,6.0,1.0,12.9
993,25,4.1,2.6,12.0,38.0,6.1,4.9,10.5,2.0,5.0,5.58,4.45,4.0,14.0,9.3,12.8
995,34,2.3,4.7,14.0,28.0,6.1,4.5,9.1,3.0,6.5,5.11,3.59,1.0,11.0,8.0,12.2
996,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,2.0,12.0,7.3,11.7
1009,24,5.0,10.0,12.0,48.0,7.4,3.9,10.9,1.0,2.4,7.2,3.78,7.0,-1.0,-1.0,11.3
1019,30,4.8,4.8,9.0,56.0,9.4,8.2,17.9,1.0,4.5,8.64,7.5,7.0,-1.0,-1.0,9.3
1027,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,2.0,9.0,3.4,9.3
1031,31,4.1,2.6,10.0,37.0,6.9,6.9,13.0,2.0,6.3,6.47,6.47,1.0,4.0,1.2,9.0
1032,25,1.8,8.9,17.0,52.0,6.6,2.9,11.5,4.0,6.7,5.62,2.2,7.0,2.0,-0.4,8.5
1039,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,2.0,12.0,3.8,7.7
1041,24,4.1,2.6,11.0,32.0,5.1,5.1,9.5,7.0,14.0,2.92,2.92,2.0,10.0,3.7,7.0
1094,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,4.0,39.0,5.8,2.6
1095,22,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,19.0,2.3,2.9
1103,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,18.0,18.0,1.8
1106,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,13.0,10.0,2.1
1110,35,4.1,4.2,8.0,25.0,5.4,3.5,8.7,2.0,7.7,4.31,2.58,1.0,8.0,8.0,2.0
1113,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,1.8
1118,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,9.0,9.0,1.9
1123,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,2.0,10.0,6.0,2.4
1125,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,3.0,-0.8,2.4
1127,29,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.7
1145,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.8
1150,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-1.0,1.1
1157,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,18.0,1.4,1.3
1165,39,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.3,-0.4
1166,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-2.0,-2.0,73.0
1167,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.7,-0.9
1171,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,12.0,6.0,-1.5
1175,22,9.0,1.5,161.0,83.0,7.8,8.9,11.8,23.0,5.4,7.13,8.19,71.0,47.0,6.9,415.7
1185,26,5.0,1.8,229.0,62.0,8.2,8.4,12.6,23.0,3.7,7.68,7.84,19.0,42.0,5.3,337.8
1187,31,6.0,1.0,190.0,60.0,8.0,8.7,12.1,48.0,8.5,6.72,7.42,17.0,21.0,4.6,328.6
1190,24,5.3,2.4,191.0,54.0,7.8,7.7,11.6,44.0,8.2,6.67,6.63,29.0,30.0,5.0,321.0
1203,25,5.3,4.8,243.0,71.0,8.2,7.1,13.4,47.0,7.0,7.17,6.15,18.0,26.0,4.2,305.4
1217,23,4.3,2.0,146.0,53.0,6.7,6.7,11.4,38.0,7.6,5.72,5.71,42.0,36.0,4.7,288.6
1221,24,5.4,1.0,176.0,83.0,8.3,8.9,12.6,17.0,3.4,7.79,8.38,15.0,25.0,5.1,287.0
1223,22,3.7,2.2,173.0,88.0,6.9,6.6,10.7,48.0,8.1,5.78,5.55,27.0,35.0,5.8,285.3
1229,36,4.6,0.7,189.0,74.0,7.0,7.6,11.3,36.0,6.0,6.15,6.71,9.0,17.0,4.0,278.4
1233,27,4.4,1.2,213.0,53.0,6.7,7.0,10.4,37.0,5.7,5.91,6.26,21.0,19.0,3.9,275.9
1242,34,4.2,2.3,228.0,93.0,7.3,7.1,10.9,48.0,7.2,6.25,6.08,10.0,12.0,4.3,267.3
1250,42,3.9,1.3,193.0,59.0,6.6,6.8,10.9,27.0,4.2,6.05,6.24,8.0,17.0,1.3,263.7
1251,25,3.5,2.6,220.0,66.0,7.4,7.0,11.8,22.0,3.4,6.9,6.46,5.0,8.0,1.2,247.5
1252,28,5.7,2.7,193.0,75.0,8.4,8.3,12.1,36.0,7.0,7.31,7.22,13.0,11.0,1.3,247.3
1253,28,4.1,1.6,191.0,75.0,7.9,8.0,11.2,29.0,5.4,7.14,7.25,7.0,15.0,3.0,244.4
1254,31,5.9,1.4,165.0,66.0,8.1,8.7,11.7,28.0,5.9,7.2,7.73,8.0,14.0,2.0,244.4
1255,37,4.0,2.6,182.0,51.0,7.0,6.7,11.3,40.0,7.4,6.13,5.78,16.0,20.0,4.5,241.5
1256,38,3.9,3.4,217.0,84.0,7.8,7.1,11.8,34.0,5.4,7.03,6.32,2.0,12.0,2.4,235.5
1257,24,4.1,3.9,179.0,89.0,7.2,6.2,12.1,40.0,7.0,6.17,5.29,15.0,18.0,5.0,229.2
1258,23,4.5,1.3,150.0,70.0,7.0,7.3,11.5,33.0,6.6,6.14,6.44,20.0,21.0,5.1,229.2
1259,40,7.1,1.1,159.0,61.0,7.9,8.8,10.6,12.0,3.1,7.41,8.33,2.0,2.0,-0.4,224.8
1260,31,7.7,2.1,126.0,91.0,9.6,10.2,13.6,31.0,9.8,7.98,8.52,14.0,25.0,4.3,224.2
1261,27,4.0,1.3,143.0,50.0,6.6,6.8,10.8,27.0,5.7,5.87,6.06,20.0,24.0,4.1,217.7
1262,22,5.2,2.6,140.0,75.0,6.6,6.5,10.7,38.0,7.6,5.5,5.38,21.0,26.0,6.2,215.0
1263,32,3.0,2.7,170.0,66.0,6.6,6.0,11.1,37.0,6.5,5.74,5.19,12.0,17.0,2.3,203.7
1264,25,3.3,1.9,156.0,53.0,6.1,5.9,9.6,38.0,6.9,5.24,5.04,12.0,23.0,4.0,202.8
1265,22,4.3,2.9,147.0,92.0,6.9,6.4,11.1,33.0,7.0,5.93,5.5,6.0,24.0,1.9,189.2
1266,23,3.5,3.3,188.0,52.0,6.8,6.0,11.0,46.0,8.6,5.47,4.76,9.0,17.0,3.3,177.5
1267,31,6.5,1.7,117.0,66.0,8.6,9.1,13.4,18.0,5.8,7.64,8.15,5.0,12.0,3.3,166.6
1288,24,4.6,3.2,80.0,76.0,6.2,5.7,10.0,15.0,5.0,5.51,5.02,6.0,13.0,2.0,108.8
1292,31,4.5,2.0,83.0,69.0,6.9,6.9,10.7,15.0,5.7,5.96,5.94,2.0,9.0,1.3,103.5
1307,27,4.6,1.0,67.0,45.0,7.1,7.5,10.4,12.0,5.8,6.23,6.66,4.0,11.0,1.1,90.5
1313,34,2.3,1.9,86.0,70.0,7.0,6.6,10.7,26.0,9.0,5.65,5.29,4.0,9.0,1.7,84.9
1315,26,4.4,1.3,50.0,75.0,7.5,7.8,12.7,25.0,13.5,5.63,5.9,5.0,15.0,5.4,85.0
1320,29,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,10.0,30.0,5.8,102.2
1326,22,3.4,3.4,65.0,75.0,6.7,5.9,11.5,29.0,12.5,5.0,4.25,7.0,23.0,5.1,76.7
1349,23,4.5,1.9,54.0,48.0,6.5,6.6,10.2,5.0,3.1,6.17,6.2,5.0,12.0,4.0,68.0
1365,26,3.8,3.8,31.0,47.0,6.5,5.6,11.0,11.0,9.5,5.51,4.65,10.0,23.0,6.9,58.1
1377,24,2.3,3.4,47.0,75.0,5.7,4.6,10.5,14.0,7.4,4.68,3.67,1.0,9.0,3.9,55.4
1378,38,4.1,3.4,47.0,55.0,7.1,6.4,11.5,5.0,3.3,6.57,5.88,1.0,6.0,1.8,54.4
1388,23,3.1,5.0,51.0,79.0,6.6,5.0,10.6,15.0,8.6,5.49,4.01,5.0,22.0,3.2,51.3
1415,35,4.4,2.6,35.0,57.0,7.2,8.1,11.2,8.0,8.1,6.0,6.81,7.0,3.0,-0.2,42.3
1428,30,2.6,1.7,31.0,39.0,6.3,6.0,9.6,8.0,6.4,5.41,5.17,2.0,13.0,5.8,37.7
1442,27,3.6,2.4,20.0,75.0,6.1,5.8,13.2,9.0,9.7,4.9,4.58,4.0,11.0,3.9,32.5
1444,38,4.5,1.5,30.0,35.0,8.7,8.9,11.6,2.0,2.9,8.13,8.35,7.0,-1.0,-1.0,32.9
1465,33,4.7,3.1,22.0,37.0,6.8,6.3,9.7,7.0,9.9,5.45,5.03,2.0,4.0,1.0,26.0
1476,25,2.3,2.3,20.0,47.0,5.4,4.9,11.6,11.0,11.2,3.89,3.38,4.0,24.0,7.7,24.7
