player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Garrett Wilson,97405,WR,NYJ,17,0,22,61.8,99.1,110,38.1,111,56.1,1,98.3,289,294,58.9,100.0,153,52.9,153
Khalil Shakir,84140,WR,BUF,19,0,4,61.2,99.4,166,57.6,167,56.6,0,99.7,288,289,77.5,100.0,79,27.4,79
Sidy Sow,59675,G,NE,13,0,19,81.0,100.0,152,53.1,152,71.3,0,100.0,286,286,62.0,100.0,99,34.6,99
Cam Jurgens,84014,G,PHI,12,0,24,56.9,100.0,72,25.2,72,64.8,0,100.0,286,286,76.9,100.0,161,56.3,161
Andrew Wylie,12333,T,WAS,15,0,32,77.6,100.0,90,31.7,90,66.1,0,100.0,284,284,59.7,100.0,176,62.0,176
Joshua Dobbs,11890,QB,MIN,13,0,18,60.5,91.0,122,43.4,134,60.6,0,85.9,281,327,60.5,93.7,149,53.0,159
Marquise Brown,61568,WR,ARZ,14,0,1,74.0,100.0,119,42.5,119,48.3,0,99.3,280,282,60.4,100.0,129,46.1,129
Rashod Bateman,84296,WR,BLT,18,1,3,67.7,99.2,118,42.1,119,60.5,1,99.6,280,281,62.4,100.0,143,51.1,143
Nate Davis,46808,G,CHI,11,0,6,55.9,100.0,98,35.1,98,55.3,0,100.0,279,279,56.4,100.0,151,54.1,151
Jon Feliciano,9561,G,SF,13,0,28,55.3,100.0,69,24.7,69,85.6,0,100.0,279,279,90.2,100.0,174,62.4,174
Charles Cross,98401,T,SEA,14,0,29,50.0,100.0,88,31.7,88,58.3,0,100.0,278,278,62.3,100.0,161,57.9,161
Jordan Addison,123000,WR,MIN,17,1,18,62.2,100.0,94,33.8,94,45.9,1,99.6,278,279,63.2,100.0,156,56.1,156
Kolton Miller,47013,T,LV,13,0,23,69.6,100.0,128,46.2,128,73.3,0,100.0,277,277,65.4,100.0,95,34.3,95
Courtland Sutton,48164,WR,DEN,16,0,10,84.9,100.0,99,35.9,99,66.3,0,100.0,276,276,63.5,100.0,135,48.9,135
Michael Deiter,38554,C,HST,13,0,13,61.6,100.0,120,43.6,120,55.2,2,100.0,275,275,53.2,100.0,121,44.0,121
Blake Freeland,102844,T,IND,13,0,14,40.4,100.0,96,34.9,96,47.6,0,100.0,275,275,53.1,100.0,166,60.4,166
Joe Tippmann,101568,C,NYJ,14,0,22,69.9,100.0,97,35.4,97,67.4,1,100.0,274,274,78.4,100.0,147,53.6,147
Josh Downs,122832,WR,IND,17,0,14,58.3,100.0,89,32.5,89,51.3,0,100.0,274,274,62.3,100.0,179,65.3,179
Darnell Mooney,48236,WR,CHI,15,1,6,49.6,100.0,91,33.2,91,30.1,1,99.6,274,275,53.8,100.0,152,55.5,152
John Michael Schmitz Jr.,55238,C,NYG,13,0,21,48.0,100.0,90,33.2,90,51.3,0,100.0,271,271,57.2,100.0,148,54.6,148
Tommy Tremble,84025,TE,CAR,16,0,5,43.5,100.0,115,42.6,115,45.5,1,100.0,270,270,50.6,100.0,140,51.9,140
Jack Stoll,42058,TE,PHI,18,0,24,51.9,100.0,75,27.8,75,63.6,0,100.0,270,270,73.9,100.0,145,53.7,145
Rashee Rice,97605,WR,KC,20,0,16,59.8,98.9,89,33.0,90,59.8,0,98.9,270,273,64.2,100.0,160,59.3,160
Patrick Mekari,46219,T,BLT,18,0,3,80.2,100.0,140,51.9,140,72.1,0,100.0,270,270,62.5,100.0,103,38.1,103
Trevon Wesco,42018,TE,TEN,15,0,31,48.6,100.0,112,42.1,112,55.5,0,100.0,266,266,61.6,100.0,132,49.6,132
Michael Wilson,84423,WR,ARZ,13,0,1,57.1,100.0,129,48.5,129,62.2,1,100.0,266,266,69.1,100.0,108,40.6,108
Dalton Schultz,47304,TE,HST,17,0,13,60.1,100.0,111,41.7,111,59.7,0,100.0,266,266,69.5,100.0,120,45.1,120
Chris Moore,10741,WR,TEN,17,0,31,64.3,100.0,114,43.0,114,54.9,0,99.3,265,267,63.6,100.0,137,51.7,137
Terry McLaurin,48229,WR,WAS,17,0,32,71.4,100.0,82,30.9,82,57.6,0,100.0,265,265,60.8,100.0,165,62.3,165
Justin Fields,82118,QB,CHI,13,0,6,60.3,76.6,95,36.0,124,60.4,0,76.3,264,346,60.2,85.9,158,59.8,184
Brock Wright,60994,TE,DET,16,0,11,48.6,99.0,102,38.8,103,45.9,0,99.6,263,264,51.5,100.0,128,48.7,128
Cedrick Wilson Jr.,48170,WR,MIA,16,0,17,85.4,100.0,85,32.3,85,56.2,1,100.0,263,263,67.6,100.0,159,60.5,159
Dalton Risner,47008,G,MIN,12,1,18,40.3,100.0,96,36.9,96,50.0,2,100.0,260,260,60.5,100.0,136,52.3,136
Michael Mayer,122906,TE,LV,14,1,23,55.7,100.0,109,41.9,109,47.6,3,100.0,260,260,46.0,100.0,105,40.4,105
Justin Herbert,28237,QB,LAC,13,0,27,60.3,100.0,104,40.2,104,60.3,0,92.5,259,280,60.2,99.3,141,54.4,142
Brandin Cooks,8655,WR,DAL,17,0,9,60.3,100.0,85,33.1,85,43.6,0,98.1,257,262,56.3,100.0,147,57.2,147
Kendall Lamm,10017,T,MIA,13,0,17,34.3,100.0,75,29.3,75,55.3,0,100.0,256,256,69.7,100.0,146,57.0,146
Geron Christian,46375,T,CLV,11,0,8,34.8,100.0,149,58.4,149,37.2,1,100.0,255,255,59.5,100.0,73,28.6,73
Ja'Marr Chase,84270,WR,CIN,16,1,7,61.9,98.6,138,54.1,140,45.1,1,98.8,255,258,68.6,100.0,102,40.0,102
Lester Cotton,46085,G,MIA,11,0,17,55.9,100.0,62,24.4,62,45.4,1,100.0,254,254,47.2,100.0,169,66.5,169
Kenny Pickett,60515,QB,PIT,12,0,25,60.0,100.0,85,33.5,85,60.0,0,90.1,254,282,60.0,98.6,143,56.3,145
Trent Sherfield,48021,WR,BUF,19,0,4,57.0,100.0,116,45.8,116,38.6,0,100.0,253,253,60.0,100.0,100,39.5,100
Chris Olave,84355,WR,NO,16,0,20,65.5,100.0,74,29.4,74,55.8,0,100.0,252,252,57.8,100.0,154,61.1,154
James Hudson III,59854,T,CLV,15,0,8,48.0,100.0,158,62.7,158,50.7,0,100.0,252,252,64.4,100.0,65,25.8,65
DJ Chark Jr.,47702,WR,CAR,15,0,5,58.0,100.0,90,36.0,90,49.5,0,100.0,250,250,61.5,100.0,149,59.6,149
Jedrick Wills Jr.,58467,T,CLV,8,0,8,66.9,100.0,124,49.6,124,54.5,1,100.0,250,250,41.1,100.0,102,40.8,102
Nick Westbrook-Ikhine,47861,WR,TEN,14,0,31,49.3,100.0,109,43.8,109,44.6,0,100.0,249,249,54.1,100.0,127,51.0,127
Hunter Henry,10669,TE,NE,14,0,19,54.4,100.0,125,50.2,125,55.8,1,100.0,249,249,64.9,100.0,89,35.7,89
Charles Leno Jr.,8880,T,WAS,13,0,32,58.3,100.0,80,32.1,80,62.0,0,100.0,249,249,66.9,100.0,154,61.8,154
Tutu Atwell,77965,WR,LA,17,0,26,56.5,100.0,149,60.1,149,64.6,0,97.6,248,254,66.7,98.9,88,35.5,89
MyCole Pruitt,9576,TE,ATL,17,0,2,50.0,100.0,83,33.6,83,46.8,3,100.0,247,247,48.9,100.0,145,58.7,145
Braden Smith,46794,T,IND,10,0,14,75.5,100.0,75,30.5,75,90.1,1,100.0,246,246,90.7,100.0,161,65.4,161
Nico Collins,61441,WR,HST,17,0,13,62.0,100.0,101,41.2,101,74.5,0,99.2,245,247,65.6,100.0,129,52.7,129
Luke Farrell,42353,TE,JAX,17,0,15,58.7,100.0,133,54.5,133,49.6,0,100.0,244,244,49.4,100.0,77,31.6,77
Josh Oliver,47083,TE,MIN,17,0,18,74.9,100.0,102,42.0,102,73.9,2,100.0,243,243,72.7,100.0,121,49.8,121
Pharaoh Brown,12247,TE,NE,17,0,19,57.4,100.0,150,62.0,150,63.3,0,100.0,242,242,64.6,100.0,67,27.7,67
D.K. Metcalf,47864,WR,SEA,16,0,29,56.3,100.0,66,27.4,66,53.3,2,100.0,241,241,58.2,100.0,158,65.6,158
Anthony Bradford,99103,G,SEA,12,1,29,60.0,100.0,65,27.1,65,58.5,3,100.0,240,240,55.8,100.0,147,61.3,147
Alec Ingold,34934,FB,MIA,18,0,17,58.3,100.0,58,24.3,58,40.2,0,99.2,239,241,53.4,100.0,151,63.2,151
Aidan O'Connell,60516,QB,LV,10,0,23,60.5,100.0,100,41.8,100,60.3,0,93.4,239,256,60.1,99.2,120,50.2,121
Evan Engram,11778,TE,JAX,17,0,15,56.4,100.0,120,50.4,120,54.9,0,100.0,238,238,58.4,100.0,101,42.4,101
Will Clapp,39386,C,LAC,13,0,27,59.2,100.0,82,34.5,82,56.9,0,100.0,238,238,56.4,100.0,127,53.4,127
Tyler Lockett,9502,WR,SEA,17,0,29,58.9,100.0,56,23.6,56,58.7,0,100.0,237,237,59.4,100.0,161,67.9,161
Trey Palmer,99248,WR,TB,19,0,30,64.7,100.0,98,41.4,98,48.3,3,98.3,237,241,61.1,100.0,127,53.6,127
Donovan Peoples-Jones,61439,WR,DET,18,0,11,45.5,100.0,118,50.0,118,52.3,2,100.0,236,236,61.3,100.0,97,41.1,97
Jahan Dotson,84375,WR,WAS,17,0,32,53.2,100.0,64,27.2,64,41.8,0,100.0,235,235,57.6,100.0,157,66.8,157
Chris Manhertz,10211,TE,DEN,16,0,10,49.7,100.0,98,41.9,98,58.5,1,100.0,234,234,69.5,100.0,92,39.3,92
Robert Woods,7822,WR,HST,16,0,13,59.9,100.0,76,32.5,76,52.0,0,99.6,234,235,61.3,100.0,137,58.5,137
Trent Brown,9677,T,NE,11,0,19,80.7,100.0,120,51.5,120,80.7,0,100.0,233,233,70.4,100.0,80,34.3,80
Dalton Kincaid,91791,TE,BUF,18,0,4,63.6,100.0,143,61.4,143,55.8,1,100.0,233,233,51.4,100.0,63,27.0,63
Tyler Conklin,47124,TE,NYJ,17,0,22,59.8,100.0,90,38.6,90,54.0,0,99.6,233,234,52.3,100.0,116,49.8,116
Robert Hunt,46139,G,MIA,11,0,17,69.6,100.0,80,34.5,80,74.7,0,100.0,232,232,74.1,100.0,123,53.0,123
Jameson Williams,101701,WR,DET,15,0,11,66.7,100.0,107,46.3,107,47.8,0,98.3,231,235,51.9,100.0,117,50.6,117
Andre Dillard,29250,T,TEN,12,0,31,54.9,100.0,98,42.4,98,56.6,0,100.0,231,231,65.0,100.0,116,50.2,116
Kyle Pitts,83964,TE,ATL,17,0,2,29.8,100.0,65,28.3,65,31.2,1,100.0,230,230,53.5,100.0,150,65.2,150
Mo Alie-Cox,12078,TE,IND,17,0,14,59.2,100.0,83,36.4,83,60.0,0,100.0,228,228,58.5,100.0,130,57.0,130
Harrison Bryant,26394,TE,CLV,18,0,8,48.3,100.0,143,62.7,143,49.6,0,97.9,228,233,54.6,100.0,60,26.3,60
Quentin Johnston,123085,WR,LAC,17,0,27,73.1,100.0,74,32.5,74,52.7,1,98.3,228,232,60.1,99.3,136,59.6,137
K.J. Osborn,23503,WR,MIN,16,0,18,61.4,100.0,77,33.9,77,51.7,0,100.0,227,227,58.9,100.0,127,55.9,127
Nelson Agholor,9453,WR,BLT,19,1,3,52.2,100.0,106,46.7,106,59.6,1,100.0,227,227,64.1,100.0,93,41.0,93
Joe Noteboom,46249,T,LA,10,0,26,50.1,100.0,147,64.8,147,48.9,0,100.0,227,227,52.3,100.0,66,29.1,66
T.J. Hockenson,40912,TE,MIN,15,0,18,56.6,100.0,75,33.0,75,56.1,1,100.0,227,227,64.0,100.0,132,58.1,132
Dawson Knox,35883,TE,BUF,14,0,4,46.1,100.0,131,57.7,131,51.1,1,100.0,227,227,70.7,100.0,66,29.1,66
Luke Schoonmaker,84005,TE,DAL,18,0,9,55.4,100.0,99,43.8,99,59.1,1,100.0,226,226,57.6,100.0,82,36.3,82
Cedric Tillman,84434,WR,CLV,14,0,8,48.9,100.0,124,54.9,124,56.2,0,99.6,226,227,69.4,100.0,79,35.0,79
Van Jefferson,47447,WR,ATL,17,0,2,52.6,100.0,111,49.3,111,46.5,2,99.6,225,226,58.6,100.0,105,46.7,105
Austin Hooper,10715,TE,LV,17,0,23,52.3,100.0,90,40.0,90,50.6,1,100.0,225,225,60.1,100.0,97,43.1,97
Mac Jones,60323,QB,NE,11,0,19,60.1,100.0,108,48.2,108,60.1,0,93.7,224,239,60.0,100.0,96,42.9,96
Cole Strange,22976,G,NE,10,0,19,67.6,100.0,113,50.4,113,66.2,1,100.0,224,224,67.4,100.0,83,37.1,83
Marcedes Lewis,2973,TE,CHI,17,0,6,68.7,100.0,81,36.2,81,73.7,0,100.0,224,224,72.1,100.0,134,59.8,134
Charlie Woerner,42257,TE,SF,20,0,28,70.6,100.0,63,28.3,63,77.3,1,100.0,223,223,75.5,100.0,114,51.1,114
Ezra Cleveland,41973,G,JAX,13,0,15,39.8,100.0,103,46.2,103,60.4,0,100.0,223,223,79.3,100.0,100,44.8,100
John Bates,42275,TE,WAS,17,0,32,63.5,100.0,84,37.8,84,60.0,1,100.0,222,222,54.7,100.0,123,55.4,123
Terron Armstead,7856,T,MIA,11,0,17,68.2,100.0,62,28.1,62,72.6,2,100.0,221,221,72.0,100.0,140,63.3,140
Walker Little,52287,T,JAX,12,0,15,60.5,100.0,101,45.9,101,53.8,3,100.0,220,220,57.0,100.0,94,42.7,94
Jaylen Waddle,84088,WR,MIA,15,0,17,64.9,100.0,64,29.2,64,55.1,0,98.6,219,222,62.7,100.0,141,64.4,141
Sua Opeta,45110,G,PHI,10,0,24,49.3,100.0,67,30.6,67,50.2,0,100.0,219,219,52.9,100.0,118,53.9,118
Thayer Munford Jr.,59994,T,LV,13,0,23,90.2,100.0,78,35.8,78,80.4,1,100.0,218,218,66.5,100.0,96,44.0,96
Tyre Phillips,59874,T,NYG,10,0,21,41.0,100.0,71,32.6,71,40.0,0,100.0,218,218,43.5,100.0,121,55.5,121
Mark Glowinski,9567,G,NYG,13,1,21,62.6,100.0,88,40.6,88,69.6,2,100.0,217,217,72.8,100.0,103,47.5,103
Drew Sample,47259,TE,CIN,17,0,7,58.0,100.0,117,53.9,117,61.5,0,100.0,217,217,61.1,100.0,72,33.2,72
DeVante Parker,9447,WR,NE,13,0,19,56.4,100.0,112,51.6,112,44.4,0,100.0,217,217,58.4,100.0,72,33.2,72
Connor Williams,46216,C,MIA,9,0,17,63.9,100.0,63,29.0,63,90.5,4,100.0,217,217,92.4,100.0,129,59.4,129
Elijah Wilkinson,46238,G,ARZ,10,0,1,55.2,100.0,105,48.6,105,57.5,1,100.0,216,216,53.7,100.0,83,38.4,83
Chigoziem Okonkwo,84000,TE,TEN,17,0,31,59.0,100.0,81,37.5,81,57.9,1,99.1,216,218,53.8,100.0,106,49.1,106
Keenan Allen,7857,WR,LAC,13,0,27,51.1,100.0,84,38.9,84,39.1,0,100.0,216,216,60.2,100.0,117,54.2,117
Tyler Shatley,9257,G,JAX,10,0,15,46.5,100.0,103,47.7,103,44.6,0,100.0,216,216,51.3,100.0,80,37.0,80
Isaiah Hodgins,52130,WR,NYG,17,0,21,57.2,100.0,77,35.8,77,50.6,1,100.0,215,215,57.1,100.0,111,51.6,111
Rondale Moore,62890,WR,ARZ,17,0,1,57.4,90.2,111,51.6,123,54.0,0,90.3,215,238,58.1,93.5,86,40.0,92
DeAndre Hopkins,7808,WR,TEN,17,0,31,72.1,98.8,82,38.3,83,54.5,0,99.5,214,215,63.8,100.0,121,56.5,121
Jonnu Smith,11855,TE,ATL,17,1,2,54.6,100.0,67,31.5,67,43.7,1,99.5,213,214,46.3,100.0,130,61.0,130
Isaiah Likely,83955,TE,BLT,19,0,3,44.0,100.0,100,47.2,100,51.9,0,100.0,212,212,57.8,100.0,87,41.0,87
Zach Wilson,82096,QB,NYJ,12,0,22,60.3,98.9,92,43.4,93,60.2,0,94.6,212,224,60.0,100.0,109,51.4,109
Diontae Johnson,33441,WR,PIT,14,0,25,62.5,100.0,83,39.2,83,58.0,0,100.0,212,212,65.1,100.0,102,48.1,102
Tyler Boyd,10689,WR,CIN,17,0,7,49.0,100.0,113,53.6,113,30.4,0,99.1,211,213,58.6,100.0,87,41.2,87
Colby Parkinson,52266,TE,SEA,17,1,29,58.5,100.0,61,28.9,61,64.1,3,100.0,211,211,65.3,100.0,130,61.6,130
Cam Robinson,11789,T,JAX,9,1,15,56.4,100.0,107,51.0,107,51.0,1,100.0,210,210,45.5,100.0,77,36.7,77
Juwan Johnson,28305,TE,NO,13,0,20,45.3,100.0,88,42.1,88,40.4,0,100.0,209,209,57.9,100.0,89,42.6,89
Wan'Dale Robinson,101735,WR,NYG,15,0,21,54.1,97.2,70,33.5,72,42.0,0,95.9,209,218,62.1,100.0,122,58.4,122
Tyreek Hill,10799,WR,MIA,17,0,17,55.5,100.0,73,35.1,73,55.6,0,97.2,208,214,59.3,100.0,121,58.2,121
JuJu Smith-Schuster,11817,WR,NE,11,0,19,48.1,100.0,109,53.7,109,52.1,1,100.0,203,203,55.4,100.0,74,36.5,74
Allen Lazard,48135,WR,NYJ,14,0,22,55.0,100.0,81,40.1,81,57.6,3,100.0,202,202,53.2,100.0,104,51.5,104
Julian Hill,88685,TE,MIA,16,0,17,50.9,100.0,58,28.7,58,41.6,2,100.0,202,202,49.0,100.0,115,56.9,115
Justin Watson,66915,WR,KC,19,0,16,64.3,100.0,71,35.3,71,56.7,0,100.0,201,201,67.1,100.0,113,56.2,113
Michael Gallup,26075,WR,DAL,18,0,9,50.4,100.0,72,35.8,72,37.6,0,100.0,201,201,59.9,100.0,104,51.7,104
Andrew Thomas,59701,T,NYG,10,0,21,72.5,100.0,57,28.5,57,64.1,0,100.0,200,200,60.0,100.0,122,61.0,122
Will Levis,83542,QB,TEN,9,0,31,60.7,100.0,78,39.0,78,60.8,0,92.6,200,216,60.2,97.3,110,55.0,113
Ryan Tannehill,7014,QB,TEN,9,0,31,60.8,97.8,88,44.9,90,60.7,0,96.1,196,204,60.3,99.0,102,52.0,103
Blake Bell,9550,TE,KC,21,0,16,49.4,100.0,70,35.7,70,57.1,0,100.0,196,196,60.8,100.0,91,46.4,91
Gerald Everett,11799,TE,LAC,15,1,27,45.4,100.0,65,33.5,65,51.3,1,98.5,194,197,57.5,99.0,102,52.6,103
Marquez Valdes-Scantling,47809,WR,KC,19,0,16,65.3,100.0,78,40.2,78,49.5,0,100.0,194,194,59.5,100.0,103,53.1,103
Geoff Swaim,9679,TE,ARZ,14,0,1,38.3,100.0,74,38.3,74,47.4,0,100.0,193,193,58.7,100.0,92,47.7,92
Jalen Tolbert,61637,WR,DAL,18,0,9,58.4,100.0,74,38.5,74,42.2,0,100.0,192,192,55.4,100.0,91,47.4,91
Andrew Beck,47121,FB,HST,17,0,13,50.1,100.0,72,37.5,72,54.2,1,97.5,192,197,57.9,100.0,98,51.0,98
Noah Fant,42388,TE,SEA,17,0,29,62.1,100.0,65,33.9,65,59.6,0,100.0,192,192,61.4,100.0,114,59.4,114
Juice Scruggs,81800,G,HST,9,0,13,57.7,100.0,78,40.8,78,50.8,1,100.0,191,191,59.2,100.0,88,46.1,88
Saahdiq Charles,59820,G,WAS,11,0,32,53.3,100.0,53,28.2,53,55.4,1,100.0,188,188,54.1,100.0,120,63.8,120
Will Dissly,30762,TE,SEA,16,0,29,45.0,100.0,55,29.4,55,77.2,0,100.0,187,187,85.1,100.0,119,63.6,119
Jarrett Patterson,81775,C,HST,7,0,13,61.9,100.0,58,31.0,58,62.9,0,100.0,187,187,59.4,100.0,109,58.3,109
Lynn Bowden,61361,WR,NO,15,0,20,56.5,100.0,89,47.6,89,57.8,0,97.4,187,192,62.6,100.0,84,44.9,84
Dontayvion Wicks,99711,WR,GB,17,0,12,60.1,100.0,62,33.2,62,66.1,1,99.5,187,188,62.3,100.0,108,57.8,108
Nick Gates,29476,C,WAS,12,0,32,58.2,100.0,55,29.6,55,70.9,0,100.0,186,186,75.6,100.0,116,62.4,116
Lil'Jordan Humphrey,42247,WR,DEN,17,0,10,56.1,100.0,77,41.4,77,65.5,1,100.0,186,186,69.7,100.0,87,46.8,87
Christian Watson,66581,WR,GB,11,0,12,58.4,97.3,71,38.2,73,50.0,0,97.9,186,190,54.7,100.0,100,53.8,100
Vederian Lowe,59741,T,NE,10,0,19,37.6,100.0,94,50.5,94,49.3,0,100.0,186,186,62.8,100.0,57,30.6,57
Larry Borom,59879,T,CHI,8,0,6,44.0,100.0,66,35.5,66,50.4,2,100.0,186,186,61.1,100.0,92,49.5,92
Charlie Kolar,60917,TE,BLT,16,0,3,58.1,100.0,92,49.5,92,54.9,0,99.5,186,187,53.6,100.0,75,40.3,75
Skyy Moore,97116,WR,KC,14,0,16,57.6,100.0,55,29.6,55,53.6,0,98.4,186,189,62.4,100.0,109,58.6,109
Stone Forsythe,41795,T,SEA,13,0,29,68.8,100.0,38,20.5,38,71.4,0,100.0,185,185,71.4,100.0,121,65.4,121
Jayden Reed,78171,WR,GB,18,0,12,52.1,97.2,69,37.3,71,46.1,1,93.4,185,198,52.7,96.3,105,56.8,109
Brenton Strange,101694,TE,JAX,14,1,15,58.5,100.0,94,51.4,94,55.0,3,100.0,183,183,69.2,100.0,59,32.2,59
Kyler Murray,38334,QB,ARZ,8,1,1,60.0,90.9,100,54.6,110,60.2,1,86.3,183,212,60.3,84.9,73,39.9,86
Chris Hubbard,8051,T,TEN,9,0,31,58.8,100.0,86,47.5,86,62.7,0,100.0,181,181,65.8,100.0,84,46.4,84
Connor Heyward,57301,TE,PIT,18,1,25,39.1,100.0,52,29.1,52,56.2,2,99.4,179,180,86.7,100.0,83,46.4,83
Pat Freiermuth,84085,TE,PIT,13,0,25,62.6,100.0,64,36.0,64,54.4,0,100.0,178,178,49.3,100.0,78,43.8,78
KhaDarel Hodge,26104,WR,ATL,17,0,2,51.6,100.0,57,32.0,57,50.5,0,99.4,178,179,52.8,99.1,115,64.6,116
Andrew Ogletree,138351,TE,IND,12,0,14,52.7,100.0,58,32.8,58,63.1,0,100.0,177,177,68.8,100.0,109,61.6,109
Christian Kirk,47546,WR,JAX,11,1,15,49.7,100.0,82,46.6,82,35.8,1,99.4,176,177,60.5,100.0,83,47.2,83
Calvin Throckmorton,28238,G,TEN,10,0,31,38.8,100.0,70,40.0,70,41.1,0,100.0,175,175,49.4,100.0,101,57.7,101
Robert Jones,100786,G,MIA,8,0,17,70.6,100.0,49,28.0,49,62.3,0,100.0,175,175,55.1,100.0,111,63.4,111
Mack Hollins,11873,WR,ATL,13,0,2,58.7,100.0,59,33.7,59,61.0,1,100.0,175,175,70.6,100.0,110,62.9,110
Demarcus Robinson,10760,WR,LA,12,0,26,58.0,100.0,103,59.2,103,71.8,1,99.4,174,175,81.6,100.0,62,35.6,62
Kylen Granson,40630,TE,IND,15,0,14,56.8,100.0,53,30.5,53,48.2,0,99.4,174,175,49.7,100.0,105,60.3,105
Mike Gesicki,47153,TE,NE,17,0,19,50.7,100.0,84,48.3,84,35.1,0,100.0,174,174,60.0,100.0,58,33.3,58
Trevor Penning,59963,T,NO,11,0,20,59.3,100.0,54,31.4,54,49.0,2,100.0,172,172,45.7,100.0,91,52.9,91
Darren Waller,9637,TE,NYG,12,0,21,44.9,100.0,59,34.3,59,40.9,0,100.0,172,172,55.2,100.0,90,52.3,90
Jerry Jeudy,61103,WR,DEN,16,0,10,56.0,100.0,36,21.2,36,46.1,0,100.0,170,170,54.4,100.0,108,63.5,108
Chuma Edoga,46232,T,DAL,13,0,9,60.8,100.0,75,44.4,75,56.8,1,100.0,169,169,56.6,100.0,71,42.0,71
Isaiah Wynn,46048,G,MIA,7,0,17,44.9,100.0,57,33.9,57,43.2,1,100.0,168,168,45.4,100.0,86,51.2,86
Luke Musgrave,98499,TE,GB,13,0,12,53.3,100.0,57,33.9,57,59.3,0,100.0,168,168,65.1,100.0,98,58.3,98
Mark Andrews,47436,TE,BLT,11,0,3,57.9,100.0,85,50.6,85,58.8,0,99.4,168,169,62.0,100.0,62,36.9,62
Cade Mays,81995,G,CAR,8,0,5,66.3,100.0,61,36.5,61,71.2,1,100.0,167,167,75.7,100.0,92,55.1,92
Tytus Howard,25472,G,HST,7,0,13,41.9,100.0,65,39.4,65,49.6,0,100.0,165,165,59.1,100.0,79,47.9,79
Jaxon Smith-Njigba,129758,WR,SEA,17,0,29,57.0,100.0,43,26.1,43,46.4,0,100.0,165,165,59.5,100.0,98,59.4,98
Chukwuma Okorafor,46302,T,PIT,13,2,25,63.9,100.0,51,31.1,51,62.6,3,100.0,164,164,62.5,100.0,82,50.0,82
Joe Burrow,28022,QB,CIN,10,0,7,60.0,98.9,92,56.4,93,60.0,0,90.6,163,180,60.0,100.0,67,41.1,67
Atonio Mafi,82449,G,NE,12,0,19,49.6,100.0,76,46.9,76,39.9,2,100.0,162,162,28.3,100.0,64,39.5,64
Logan Thomas,8755,TE,WAS,16,0,32,50.8,100.0,44,27.2,44,60.2,1,98.8,162,164,74.8,100.0,103,63.6,103
Olamide Zaccheaus,44920,WR,PHI,17,0,24,51.6,100.0,46,28.8,46,44.5,0,100.0,160,160,67.3,100.0,85,53.1,85
Donald Parham Jr.,91014,TE,LAC,14,0,27,46.7,100.0,68,43.0,68,45.4,0,100.0,158,158,52.2,100.0,71,44.9,71
Odell Beckham Jr.,8647,WR,BLT,16,0,3,58.1,100.0,68,43.0,68,44.8,0,100.0,158,158,61.5,100.0,79,50.0,79
Tyler Scott,123578,WR,CHI,17,0,6,47.1,100.0,55,34.8,55,45.8,0,95.8,158,165,69.5,100.0,88,55.7,88
Jaelyn Duncan,81722,T,TEN,8,0,31,46.8,100.0,60,38.2,60,41.5,1,100.0,157,157,42.1,100.0,80,51.0,80
Michael Thomas,10681,WR,NO,9,0,20,62.5,100.0,64,40.8,64,60.4,1,100.0,157,157,58.4,100.0,75,47.8,75
Justin Jefferson,61398,WR,MIN,10,0,18,61.9,100.0,59,37.6,59,56.8,0,99.4,157,158,56.2,100.0,86,54.8,86
Jake Browning,46401,QB,CIN,9,0,7,60.0,100.0,84,53.8,84,60.0,0,93.4,156,167,60.0,98.5,64,41.0,65
David Edwards,35941,G,BUF,16,0,4,70.2,100.0,64,41.0,64,85.9,1,100.0,156,156,89.6,100.0,63,40.4,63
Deshaun Watson,11767,QB,CLV,6,0,8,60.3,95.2,80,51.6,84,60.9,1,93.9,155,165,60.7,95.7,66,42.6,69
Joshua Palmer,62979,WR,LAC,10,0,27,56.0,100.0,62,40.0,62,51.1,1,100.0,155,155,54.9,100.0,78,50.3,78
Jalin Hyatt,124282,WR,NYG,17,0,21,70.6,100.0,54,35.1,54,67.6,0,100.0,154,154,63.6,100.0,87,56.5,87
Tee Higgins,61211,WR,CIN,12,0,7,62.7,100.0,77,50.0,77,66.8,0,100.0,154,154,61.6,100.0,65,42.2,65
T.J. Bass,131703,G,DAL,12,0,9,64.6,100.0,63,40.9,63,54.2,0,100.0,154,154,51.9,100.0,61,39.6,61
Bailey Zappe,60396,QB,NE,10,0,19,60.2,100.0,97,63.4,97,60.1,0,95.6,153,160,60.0,100.0,43,28.1,43
John Metchie III,97400,WR,HST,18,0,13,58.0,100.0,68,44.7,68,55.5,1,98.1,152,155,58.2,100.0,66,43.4,66
Evan Neal,99063,T,NYG,7,0,21,55.1,100.0,57,37.7,57,51.1,0,100.0,151,151,50.9,100.0,77,51.0,77
Rashid Shaheed,63707,WR,NO,15,0,20,59.7,100.0,36,23.8,36,52.0,0,95.6,151,158,58.3,100.0,96,63.6,96
